problem type,benchmark set,filename,number of orders,capacity,random seed,policy,opt?,UB,LB,time [s]
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-6.txt,20,30,6,optimal,True,3.959,3959.0,926.022
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-6.txt,20,30,6,largest_gap,True,4.069,4069.0,2424.29
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-6.txt,20,30,6,traversal,True,4.755,4755.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-7.txt,20,30,7,optimal,True,3.505,3505.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-7.txt,20,30,7,largest_gap,True,3.701,3701.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-7.txt,20,30,7,traversal,True,4.115,4115.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-8.txt,20,30,8,optimal,True,3.052,3052.0,3241.57
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-8.txt,20,30,8,largest_gap,True,3.23,3230.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-8.txt,20,30,8,traversal,True,3.592,3592.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-9.txt,20,30,9,optimal,True,2.996,2996.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-9.txt,20,30,9,largest_gap,True,3.123,3123.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C30\21s-20-30-9.txt,20,30,9,traversal,True,3.578,3578.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-0.txt,20,45,0,optimal,True,2.686,2686.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-0.txt,20,45,0,largest_gap,True,2.957,2957.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-0.txt,20,45,0,traversal,True,3.134,3134.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-1.txt,20,45,1,optimal,True,2.092,2092.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-1.txt,20,45,1,largest_gap,True,2.324,2323.83,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-1.txt,20,45,1,traversal,True,2.339,2338.6,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-2.txt,20,45,2,optimal,True,2.621,2621.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-2.txt,20,45,2,largest_gap,True,2.81,2810.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-2.txt,20,45,2,traversal,True,2.996,2996.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-3.txt,20,45,3,optimal,True,2.53,2529.67,3600.0
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-3.txt,20,45,3,largest_gap,True,2.763,2763.0,12.754
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-3.txt,20,45,3,traversal,True,2.767,2767.0,192.532
OrderBatching,HENN,Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-4.txt,20,45,4,optimal,True,2.583,2583.0,31.215
